layer,tensor,c_norm,ref_norm,best_scale,sc_inv_eps
0,input_layernorm.output,3273.062938594368,0.49893489035051475,0.00015243476211654623,0.005033235471493042
0,attn.q_pre_rope,272171.9591049012,41.31127810184584,0.00015141983065038655,0.06920524428554221
0,attn.k_pre_rope,460403.53185004997,70.30896418284924,0.00015267042126716496,0.023223845933864836
0,attn.v,695687.7601568106,106.13382128625749,0.00015249306949793583,0.029521636487483592
0,attn_sub_norm.output,1612.8065600065,0.2478788899028455,0.00015181380565589174,0.15594432120635102
0,post_attention_layernorm.output,311204.98229784175,62.00610920611404,0.0001813269146889642,0.41445671895710484
0,ffn.up_proj,3583678.430646366,6712.556121415858,0.001666886086536937,0.4561324066265088
0,ffn_sub_norm.output,191953.4646001473,13.176373832699747,5.35290204436108e-05,0.6260150498470297
0,block_output,18505973.434214126,1212.4085026372597,5.100692906566955e-05,0.6275700634700223
1,input_layernorm.output,5499.081650603126,0.8498292041097698,0.00012093822231856155,0.6225650898562773
1,attn.q_pre_rope,309143.00483756704,38.95435877267608,9.730670476271464e-05,0.6353442444018932
1,attn.k_pre_rope,545896.010222643,55.56408614495658,9.324464688551417e-05,0.40096542790631945
1,attn.v,754957.3437585729,129.9496810596947,0.00016440486655188376,0.296191310820799
1,attn_sub_norm.output,62821.32395134633,8.135130948288253,9.522355076829776e-05,0.6777007283137694
1,post_attention_layernorm.output,375540.5286277368,53.420734770742065,0.00010387089361838211,0.6832352645379304
1,ffn.up_proj,2254867.0830037855,3059.263648218438,0.0010790996405348303,0.6061329082871579
1,ffn_sub_norm.output,456220.2491001468,88.6934338529388,0.00012343268400551264,0.772584793000415
1,block_output,45054143.290987775,7813.934729634256,0.00014317365257815657,0.5643715796913311
2,input_layernorm.output,4562.882970228362,0.6747228523610574,9.512761112612865e-05,0.7656055545058141
2,attn.q_pre_rope,236034.04950769286,34.57928794603444,0.00011493693140923946,0.6200710841254792
2,attn.k_pre_rope,271029.2064649122,39.56358034541287,0.00012745878025745768,0.4874465495839276
2,attn.v,402785.2982669551,81.97588550639526,0.00016996791515554535,0.5500515787368625
2,attn_sub_norm.output,122518.38228200698,13.045829853025902,6.344440819347449e-05,0.8031100468842494
2,post_attention_layernorm.output,251099.48922289748,40.37835648228438,9.673629816079364e-05,0.7988195829890363
2,ffn.up_proj,2066013.4432931456,3215.245267483298,0.0010797302872460944,0.7201676939074895
