
  L  site                   eps     sub_max      hf_max     fit_s
 11  attn_sub_norm       0.9716 ⚠       4.525       7.625    0.2888
 11  ffn_sub_norm        0.9136 ⚠      47.331      32.250    0.4358
 11  gate                0.8811 ⚠  160284.351     474.000    0.0035
 11  k_pre_rope          0.6176 ⚠       6.261       5.531    0.7874
 11  q_pre_rope          0.7066 ⚠       2.962       3.797    0.7029
 11  up                  0.7309 ⚠     437.949     478.000    0.6894
 11  v                   0.8548 ⚠       9.005       7.469    0.5399
 11  x_norm              0.8313 ⚠       3.827       3.672    0.5748
 11  x_norm_input        0.8302 ⚠       0.043       0.047    0.5842
 12  attn_sub_norm       0.9007 ⚠       6.105       7.781    0.3641
 12  ffn_sub_norm        0.8246 ⚠      54.382      62.500    0.6733
 12  gate                0.8630 ⚠  273028.469     520.000    0.0031
 12  k_pre_rope          0.5923 ⚠       5.820       6.375    0.8301
 12  q_pre_rope          0.6605 ⚠       3.336       3.750    0.7916
 12  up                  0.7329 ⚠     456.206     508.000    0.6648
 12  v                   0.8176 ⚠       6.708       7.844    0.5311
 12  x_norm              0.8306 ⚠       3.602       3.547    0.5719
 12  x_norm_input        0.8322 ⚠       0.037       0.038    0.5739
 13  attn_sub_norm       0.9192 ⚠       6.863       5.219    0.2542
 13  ffn_sub_norm        0.8591 ⚠      36.062      59.250    0.6404
 13  gate                0.8537 ⚠  210551.317     428.000    0.0033
 13  k_pre_rope          0.5210 ⚠       5.720       6.281    0.8492
 13  q_pre_rope          0.6097 ⚠       4.026       4.156    0.7982
 13  up                  0.7254 ⚠     518.409     470.000    0.6627
 13  v                   0.8228 ⚠       6.445       7.688    0.5576
 13  x_norm              0.8125 ⚠       3.249       3.109    0.5811
 13  x_norm_input        0.8116 ⚠       0.031       0.036    0.6022
 14  attn_sub_norm       0.9364 ⚠       6.786       4.656    0.1532
 14  ffn_sub_norm        0.9180 ⚠      83.822     106.000    0.4386
 14  gate                0.8361 ⚠  186275.719     454.000    0.0033
 14  k_pre_rope          0.5923 ⚠       7.487       6.625    0.7172
 14  q_pre_rope          0.6949 ⚠       4.101       4.469    0.7139
 14  up                  0.7554 ⚠     405.399     342.000    0.6031
 14  v                   0.8286 ⚠       6.768       6.062    0.5210
 14  x_norm              0.8114 ⚠       3.007       3.375    0.5837
 14  x_norm_input        0.8089 ⚠       0.038       0.040    0.5919
 15  attn_sub_norm       0.8917 ⚠      12.201       9.125    0.3686
 15  ffn_sub_norm        0.8673 ⚠      57.285      80.500    0.5305
 15  gate                0.8340 ⚠  323431.704     460.000    0.0029
 15  k_pre_rope          0.5956 ⚠       5.579       4.656    0.7593
 15  q_pre_rope          0.6547 ⚠       3.124       3.250    0.7360
 15  up                  0.7333 ⚠     501.004     492.000    0.6181
 15  v                   0.8118 ⚠       8.379       5.969    0.5523
 15  x_norm              0.8168 ⚠       3.664       3.531    0.5655
 15  x_norm_input        0.8178 ⚠       0.036       0.046    0.5884
 16  attn_sub_norm       0.8468 ⚠       9.743       6.562    0.3451
 16  ffn_sub_norm        0.8319 ⚠      55.200      59.500    0.6084
 16  gate                0.8384 ⚠  248478.317     520.000    0.0028
 16  k_pre_rope          0.6366 ⚠       5.272       5.500    0.7884
 16  q_pre_rope          0.6791 ⚠       3.351       3.297    0.7015
 16  up                  0.7311 ⚠     527.121     458.000    0.6201
 16  v                   0.8050 ⚠       5.602       7.781    0.6223
 16  x_norm              0.8042 ⚠       3.864       4.031    0.5677
